Sample;Gorilla gorilla gorilla;Odobenus rosmarus divergens;Fragaria vesca subsp. vesca;Cucurbita pepo subsp. pepo;Perognathus longimembris pacificus;Aegilops tauschii subsp. tauschii;Colobus angolensis palliatus;Aquila chrysaetos chrysaetos;Musa acuminata subsp. malaccensis;Canis lupus familiaris;Orycteropus afer afer;Aegilops tauschii subsp. strangulata;Culex pipiens pallens;Terrapene carolina triunguis;Peromyscus maniculatus bairdii;Olea europaea subsp. europaea;Saimiri boliviensis boliviensis;Beta vulgaris subsp. vulgaris;Hordeum vulgare subsp. vulgare;Ceratotherium simum simum;Daucus carota subsp. sativus;Pediculus humanus corporis
SRR22402302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
SRR22402284;121;0;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
SRR22402382;167;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595271;0;0;0;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595247;12843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402283;229;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0
SRR15595342;14583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595289;0;0;0;0;0;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402278;249;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402265;618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402281;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
SRR15595324;37489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402280;44;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402275;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595337;14553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595251;12208;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0
SRR15595352;11612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402254;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
SRR22402347;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402277;80;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;3;0
SRR22402292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402374;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
SRR22402377;280;0;0;24;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402310;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402319;27;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402264;877;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402381;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595279;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402368;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402369;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595345;14229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595245;0;0;0;0;0;15;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402271;233;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
SRR22402353;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595317;10540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402332;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402295;0;0;0;0;0;0;0;0;0;0;0;2;23;0;0;0;0;0;0;0;0;0
SRR15595303;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0
SRR22402350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402268;250;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402297;0;0;22;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595353;11929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595257;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595305;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402273;339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595329;8720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402322;79;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402259;116;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595336;29806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595253;0;0;0;0;0;380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;0
SRR22402263;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402335;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402384;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
SRR22402293;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595255;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595335;25027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0
SRR22402309;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402344;160;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402306;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595267;18;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402367;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595347;11336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595254;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595339;20959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595277;0;0;0;0;0;520;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402355;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402313;523;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0
SRR22402365;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402289;339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595315;0;0;0;0;0;26;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595295;0;0;0;0;0;641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402343;182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595351;19860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402282;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SRR22402303;361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402380;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402378;5781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402301;58;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595259;79;0;0;0;0;305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402272;2576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595332;23067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595349;15211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402324;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595273;69;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402286;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595331;21192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595291;9354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595330;0;0;0;0;0;1844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402262;395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402316;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402266;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402331;1526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402311;85;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;5;0;0;0;0;0
SRR15595343;28360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595252;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595344;9803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402337;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR15595346;14651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595326;10816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402338;158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595265;0;0;0;0;0;482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595309;328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595281;109;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402307;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402318;13;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402323;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595263;18173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
SRR22402336;519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595338;12027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402290;31;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402305;538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402341;359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402255;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402359;473;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402325;612;0;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0
SRR15595250;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595285;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595348;9534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402385;2159;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402330;613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402327;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595340;20238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402308;1204;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
SRR22402360;876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595261;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595319;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595313;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595307;0;0;0;0;0;2532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595341;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402291;292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595333;23279;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595320;21096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402328;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402366;38;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595323;12757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595275;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402351;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595287;9053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595334;24593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402362;166;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402334;558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595325;84;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402373;317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595322;10003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595328;8496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595318;24429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595327;9988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595299;15637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
